category,dataset,data_structure,task_type,num_samples,source
TDC Datasets,BindingDB,Drug--Target,Regression,"2,701,247",https://tdcommons.ai
TDC Datasets,DAVIS,Drug--Target,Regression,"30,056",https://tdcommons.ai
TDC Datasets,KIBA,Drug--Target,Regression,"118,254",https://tdcommons.ai
TDC Datasets,DrugBank,Drug--Drug,Classification,"191,808",https://tdcommons.ai
TDC Datasets,TWOSIDES,Drug--Drug,Classification,"4,651,131",https://tdcommons.ai
TDC Datasets,GDSCv1,Drug--Cell,Regression,"177,310",https://tdcommons.ai
TDC Datasets,GDSCv2,Drug--Cell,Regression,"92,703",https://tdcommons.ai
TUDataset,QM9,"Drug(QM, 3D)",Regression,"133,885",https://chrsmrrs.github.io/datasets/
TUDataset,ZINC,Drug(QM),Regression,"249,456",https://chrsmrrs.github.io/datasets/
Open Graph Benchmark,HIV,Drug(Bio.),Classification,"41,913",https://ogb.stanford.edu
Open Graph Benchmark,Tox21,Drug(Physio.),Classification,"8,014",https://ogb.stanford.edu
Open Graph Benchmark,ToxCast,Drug(Physio.),Classification,"8,615",https://ogb.stanford.edu
Open Graph Benchmark,BBBP,Drug(Physio.),Classification,"2,053",https://ogb.stanford.edu
Open Graph Benchmark,PCQM4Mv2,Drug(QM),Regression,"3,746,619",https://ogb.stanford.edu/docs/lsc/pcqm4mv2/
MoleculeNet,PCBA,Drug(Bio.),Classification,"439,863",https://moleculenet.org
MoleculeNet,MUV,Drug(Bio.),Classification,"93,127",https://moleculenet.org
MoleculeNet,BACE,Drug(Bio.),Classification,"1,522",https://moleculenet.org
MoleculeNet,PDBbind,Drug(Bio.),Regression,"11,908",https://moleculenet.org
MoleculeNet,SIDER,Drug(Physio.),Classification,"1,427",https://moleculenet.org
MoleculeNet,ClinTox,Drug(Physio.),Classification,"1,491",https://moleculenet.org
MoleculeNet,QM7,"Drug(QM, 3D)",Regression,"7,165",https://moleculenet.org
MoleculeNet,QM7b,"Drug(QM, 3D)",Regression,"7,210",https://moleculenet.org
MoleculeNet,QM8,"Drug(QM, 3D)",Regression,"21,786",https://moleculenet.org
MoleculeNet,ESOL,Drug(Phys. Chem.),Regression,"1,128",https://moleculenet.org
MoleculeNet,FreeSolv,Drug(Phys. Chem.),Regression,643,https://moleculenet.org
MoleculeNet,Lipophilicity,Drug(Phys. Chem.),Regression,"4,200",https://moleculenet.org
Molecular Property Prediction,MD17/22,Drug(QM),Regression,99k--627k / 5k--85k,http://www.sgdml.org
Molecular Property Prediction,OC20/22,Drug(QM),Regression,"1,281,040 / 62,331",https://fair-chem.github.io/index.html
Molecular Property Prediction,Molecule3D,Drug(QM),Regression,"3,899,647",https://github.com/divelab/MoleculeX
Molecular Property Prediction,3BPA,Drug(QM),Regression,500,https://service.tib.eu/ldmservice/dataset/3bpa-dataset
Molecular Property Prediction,ANI-1,Drug(QM),Regression,"24,416,306",https://materials.colabfit.org/id/DS_p4evspy1ntcs_0
Molecular Property Prediction,QM9-ED,Drug(QM),Regression,"133,885",https://huggingface.co/datasets/Stephen301123/UniField-ED
Molecular Property Prediction,QMugs-ED,Drug(QM),Regression,"50,000",https://huggingface.co/datasets/Stephen301123/UniField-ED
DTI/DTA,LIT-PCBA,Drug--Target,Classification,"415,225 / 15",https://drugdesign.unistra.fr/LIT-PCBA/
DTI/DTA,C.elegans,Drug--Target,Classification,"1,434 / 2,504",https://snap.stanford.edu/data/C-elegans-frontal.html
DTI/DTA,Human,Drug--Target,Classification,"1,052 / 852",https://github.com/peizhenbai/DrugBAN/tree/main/datasets
DTI/DTA,DUD-E,Drug--Target,Classification,"22,886 / 102",https://dude.docking.org/
DTI/DTA,Metz,Drug--Target,Regression,"1,423 / 170",https://service.tib.eu/ldmservice/dataset/metz
DTI/DTA,Karimi,Drug--Target,Regression,"3,672 / 1,287",https://drive.google.com/file/d/1_iZ8B1JZkCKmKlQNewOCr3kbnWfAIc-r/view
